--eccb627--2024-12-17--hassanibrahem
--4db83f5--2024-12-17--hassanibrahem
-	-	.DS_Store
52	0	src/main/java/com/charity_hub/shell/controllers/common/GlobalExceptionHandler.java
78	0	src/main/java/com/charity_hub/shell/controllers/common/RefreshTokenPayload.java
56	0	src/main/java/com/charity_hub/shell/db/AccountEntity.java
30	0	src/main/java/com/charity_hub/shell/db/DeviceEntity.java
4	0	src/main/java/com/charity_hub/shell/db/InvitationEntity.java
5	0	src/main/java/com/charity_hub/shell/db/MemberEntity.java
64	0	src/main/java/com/charity_hub/shell/db/MongoDBConfig.java
4	0	src/main/java/com/charity_hub/shell/db/RevokedAccountEntity.java
83	0	src/main/java/com/charity_hub/shell/firebase/FCMService.java
52	0	src/main/java/com/charity_hub/shell/firebase/FirebaseAuthProvider.java
34	0	src/main/java/com/charity_hub/shell/firebase/FirebaseAuthProviderStub.java
50	0	src/main/java/com/charity_hub/shell/firebase/FirebaseConfig.java
21	0	src/main/java/com/charity_hub/shell/logger/Logger.java
51	0	src/main/java/com/charity_hub/shell/mappers/TokenMapper.java
61	0	src/main/java/com/charity_hub/shell/repositories/AccountRepo.java
29	0	src/main/java/com/charity_hub/shell/repositories/InvitationRepo.java
67	0	src/main/java/com/charity_hub/shell/services/JwtGenerator.java

--01174fd--2024-12-16--hassanibrahem
0	115	.gitlab-ci.yml
1	1	src/main/java/com/charity_hub/api/AuthController.java
43	0	src/main/java/com/charity_hub/api/authconfig/JWTPayload.java
84	0	src/main/java/com/charity_hub/api/authconfig/JwtAuthFilter.java
40	0	src/main/java/com/charity_hub/api/authconfig/JwtVerifier.java
62	0	src/main/java/com/charity_hub/api/authconfig/SecurityConfig.java
128	0	src/main/java/com/charity_hub/api/common/AccessTokenPayload.java
25	0	src/main/java/com/charity_hub/api/common/DeferredResults.java
52	0	src/main/java/com/charity_hub/api/common/GlobalExceptionHandler.java
78	0	src/main/java/com/charity_hub/api/common/RefreshTokenPayload.java
1	3	src/main/java/com/charity_hub/application/Authenticate.java
4	6	src/main/java/com/charity_hub/application/AuthenticateHandler.java
1	1	src/main/java/com/charity_hub/domain/contracts/IAccountRepo.java
2	2	src/main/java/com/charity_hub/domain/contracts/IJWTGenerator.java
6	0	src/main/java/com/charity_hub/domain/contracts/ILogger.java
0	21	src/main/java/com/charity_hub/domain/events/AccountAuthenticated.java
0	16	src/main/java/com/charity_hub/domain/events/AccountCreated.java
0	6	src/main/java/com/charity_hub/domain/events/AccountEvent.java
58	0	src/main/java/com/charity_hub/domain/exceptions/AppException.java
11	0	src/main/java/com/charity_hub/domain/exceptions/DomainException.java
12	0	src/main/java/com/charity_hub/domain/exceptions/InvalidAmountException.java
0	110	src/main/java/com/charity_hub/domain/model/account/Account.java
0	13	src/main/java/com/charity_hub/domain/model/account/AccountId.java
0	17	src/main/java/com/charity_hub/domain/model/account/FullName.java
0	27	src/main/java/com/charity_hub/domain/model/account/MobileNumber.java
0	24	src/main/java/com/charity_hub/domain/model/account/PhotoUrl.java
0	4	src/main/java/com/charity_hub/domain/model/account/Tokens.java
0	77	src/main/java/com/charity_hub/domain/model/device/Device.java
0	18	src/main/java/com/charity_hub/domain/model/device/DeviceId.java
0	14	src/main/java/com/charity_hub/domain/model/device/DeviceType.java
0	43	src/main/java/com/charity_hub/domain/model/device/FCMToken.java
0	43	src/main/java/com/charity_hub/domain/model/device/RefreshToken.java
0	59	src/main/java/com/charity_hub/domain/model/invitation/Invitation.java
104	0	src/main/java/com/charity_hub/domain/models/account/Account.java
11	0	src/main/java/com/charity_hub/domain/models/account/AccountId.java
17	0	src/main/java/com/charity_hub/domain/models/account/FullName.java
27	0	src/main/java/com/charity_hub/domain/models/account/MobileNumber.java
22	0	src/main/java/com/charity_hub/domain/models/account/Permission.java
24	0	src/main/java/com/charity_hub/domain/models/account/PhotoUrl.java
4	0	src/main/java/com/charity_hub/domain/models/account/Tokens.java
75	0	src/main/java/com/charity_hub/domain/models/device/Device.java
17	0	src/main/java/com/charity_hub/domain/models/device/DeviceId.java
14	0	src/main/java/com/charity_hub/domain/models/device/DeviceType.java
43	0	src/main/java/com/charity_hub/domain/models/device/FCMToken.java
43	0	src/main/java/com/charity_hub/domain/models/device/RefreshToken.java
59	0	src/main/java/com/charity_hub/domain/models/invitation/Invitation.java
26	0	src/main/java/com/charity_hub/domain/validators/ValueValidator.java
21	0	src/main/java/com/charity_hub/infrastructure/Logger.java
2	2	src/main/java/com/charity_hub/infrastructure/db/AccountEntity.java
1	1	src/main/java/com/charity_hub/infrastructure/db/DeviceEntity.java
64	0	src/main/java/com/charity_hub/infrastructure/db/MongoDBConfig.java
0	12	src/main/java/com/charity_hub/infrastructure/dtos/AccountAuthenticatedDto.java
0	7	src/main/java/com/charity_hub/infrastructure/dtos/AccountCreatedDTO.java
0	28	src/main/java/com/charity_hub/infrastructure/dtos/AccountEventDto.java
5	5	src/main/java/com/charity_hub/infrastructure/mappers/TokenMapper.java
2	11	src/main/java/com/charity_hub/infrastructure/repositories/AccountRepo.java
3	3	src/main/java/com/charity_hub/infrastructure/services/JwtGenerator.java
1	1	src/main/java/com/charity_hub/infrastructure/services/firebase/FirebaseAuthProvider.java
1	1	src/main/java/com/charity_hub/infrastructure/services/firebase/FirebaseAuthProviderStub.java
0	11	src/main/java/com/charity_hub/shared/ModuleMetadata.java
0	3	src/main/java/com/charity_hub/shared/abstractions/Command.java
0	12	src/main/java/com/charity_hub/shared/abstractions/CommandHandler.java
0	8	src/main/java/com/charity_hub/shared/abstractions/DefaultResponse.java
0	3	src/main/java/com/charity_hub/shared/abstractions/Query.java
0	7	src/main/java/com/charity_hub/shared/abstractions/QueryHandler.java
0	3	src/main/java/com/charity_hub/shared/abstractions/Request.java
0	25	src/main/java/com/charity_hub/shared/api/DeferredResults.java
0	52	src/main/java/com/charity_hub/shared/api/GlobalExceptionHandler.java
0	127	src/main/java/com/charity_hub/shared/api/auth/AccessTokenPayload.java
0	43	src/main/java/com/charity_hub/shared/api/auth/JWTPayload.java
0	83	src/main/java/com/charity_hub/shared/api/auth/JwtAuthFilter.java
0	40	src/main/java/com/charity_hub/shared/api/auth/JwtVerifier.java
0	77	src/main/java/com/charity_hub/shared/api/auth/RefreshTokenPayload.java
0	62	src/main/java/com/charity_hub/shared/api/auth/SecurityConfig.java
0	55	src/main/java/com/charity_hub/shared/domain/EventBus.java
0	16	src/main/java/com/charity_hub/shared/domain/IEventBus.java
0	6	src/main/java/com/charity_hub/shared/domain/ILogger.java
0	14	src/main/java/com/charity_hub/shared/domain/exceptions/InvalidAmountException.java
0	82	src/main/java/com/charity_hub/shared/domain/extension/AsyncUtils.java
0	26	src/main/java/com/charity_hub/shared/domain/extension/ValueValidator.java
0	28	src/main/java/com/charity_hub/shared/domain/model/AggregateRoot.java
0	49	src/main/java/com/charity_hub/shared/domain/model/Amount.java
0	6	src/main/java/com/charity_hub/shared/domain/model/AmountType.java
0	3	src/main/java/com/charity_hub/shared/domain/model/DomainEvent.java
0	4	src/main/java/com/charity_hub/shared/domain/model/DomainModel.java
0	59	src/main/java/com/charity_hub/shared/domain/model/Entity.java
0	9	src/main/java/com/charity_hub/shared/domain/model/Pair.java
0	22	src/main/java/com/charity_hub/shared/domain/model/Permission.java
0	4	src/main/java/com/charity_hub/shared/domain/model/ValueObject.java
0	58	src/main/java/com/charity_hub/shared/exceptions/AppException.java
0	11	src/main/java/com/charity_hub/shared/exceptions/DomainException.java
0	83	src/main/java/com/charity_hub/shared/infrastructure/FCMService.java
0	21	src/main/java/com/charity_hub/shared/infrastructure/Logger.java
0	64	src/main/java/com/charity_hub/shared/infrastructure/MongoDBConfig.java

--c1570fe--2024-12-16--hassanibrahem
1	1	README.md

--457baf0--2024-12-16--hassanibrahem
41	0	.gitignore
115	0	.gitlab-ci.yml
201	0	LICENSE
8	0	README.md
92	0	build.gradle
1	0	gradle.properties
-	-	gradle/wrapper/gradle-wrapper.jar
7	0	gradle/wrapper/gradle-wrapper.properties
248	0	gradlew
92	0	gradlew.bat
20	0	http-tests/auth-webservices.http
5	0	http-tests/http-client.env.json
1	0	settings.gradle
18	0	src/main/java/com/charity_hub/CharityHubApplication.java
32	0	src/main/java/com/charity_hub/api/AuthController.java
6	0	src/main/java/com/charity_hub/application/Authenticate.java
87	0	src/main/java/com/charity_hub/application/AuthenticateHandler.java
4	0	src/main/java/com/charity_hub/application/AuthenticateResponse.java
13	0	src/main/java/com/charity_hub/domain/contracts/IAccountRepo.java
7	0	src/main/java/com/charity_hub/domain/contracts/IAuthProvider.java
9	0	src/main/java/com/charity_hub/domain/contracts/IInvitationRepo.java
10	0	src/main/java/com/charity_hub/domain/contracts/IJWTGenerator.java
21	0	src/main/java/com/charity_hub/domain/events/AccountAuthenticated.java
16	0	src/main/java/com/charity_hub/domain/events/AccountCreated.java
6	0	src/main/java/com/charity_hub/domain/events/AccountEvent.java
110	0	src/main/java/com/charity_hub/domain/model/account/Account.java
13	0	src/main/java/com/charity_hub/domain/model/account/AccountId.java
17	0	src/main/java/com/charity_hub/domain/model/account/FullName.java
27	0	src/main/java/com/charity_hub/domain/model/account/MobileNumber.java
24	0	src/main/java/com/charity_hub/domain/model/account/PhotoUrl.java
4	0	src/main/java/com/charity_hub/domain/model/account/Tokens.java
77	0	src/main/java/com/charity_hub/domain/model/device/Device.java
18	0	src/main/java/com/charity_hub/domain/model/device/DeviceId.java
14	0	src/main/java/com/charity_hub/domain/model/device/DeviceType.java
43	0	src/main/java/com/charity_hub/domain/model/device/FCMToken.java
43	0	src/main/java/com/charity_hub/domain/model/device/RefreshToken.java
59	0	src/main/java/com/charity_hub/domain/model/invitation/Invitation.java
56	0	src/main/java/com/charity_hub/infrastructure/db/AccountEntity.java
30	0	src/main/java/com/charity_hub/infrastructure/db/DeviceEntity.java
4	0	src/main/java/com/charity_hub/infrastructure/db/InvitationEntity.java
5	0	src/main/java/com/charity_hub/infrastructure/db/MemberEntity.java
4	0	src/main/java/com/charity_hub/infrastructure/db/RevokedAccountEntity.java
12	0	src/main/java/com/charity_hub/infrastructure/dtos/AccountAuthenticatedDto.java
7	0	src/main/java/com/charity_hub/infrastructure/dtos/AccountCreatedDTO.java
28	0	src/main/java/com/charity_hub/infrastructure/dtos/AccountEventDto.java
51	0	src/main/java/com/charity_hub/infrastructure/mappers/TokenMapper.java
70	0	src/main/java/com/charity_hub/infrastructure/repositories/AccountRepo.java
29	0	src/main/java/com/charity_hub/infrastructure/repositories/InvitationRepo.java
67	0	src/main/java/com/charity_hub/infrastructure/services/JwtGenerator.java
52	0	src/main/java/com/charity_hub/infrastructure/services/firebase/FirebaseAuthProvider.java
34	0	src/main/java/com/charity_hub/infrastructure/services/firebase/FirebaseAuthProviderStub.java
50	0	src/main/java/com/charity_hub/infrastructure/services/firebase/FirebaseConfig.java
11	0	src/main/java/com/charity_hub/shared/ModuleMetadata.java
3	0	src/main/java/com/charity_hub/shared/abstractions/Command.java
12	0	src/main/java/com/charity_hub/shared/abstractions/CommandHandler.java
8	0	src/main/java/com/charity_hub/shared/abstractions/DefaultResponse.java
3	0	src/main/java/com/charity_hub/shared/abstractions/Query.java
7	0	src/main/java/com/charity_hub/shared/abstractions/QueryHandler.java
3	0	src/main/java/com/charity_hub/shared/abstractions/Request.java
25	0	src/main/java/com/charity_hub/shared/api/DeferredResults.java
52	0	src/main/java/com/charity_hub/shared/api/GlobalExceptionHandler.java
127	0	src/main/java/com/charity_hub/shared/api/auth/AccessTokenPayload.java
43	0	src/main/java/com/charity_hub/shared/api/auth/JWTPayload.java
83	0	src/main/java/com/charity_hub/shared/api/auth/JwtAuthFilter.java
40	0	src/main/java/com/charity_hub/shared/api/auth/JwtVerifier.java
77	0	src/main/java/com/charity_hub/shared/api/auth/RefreshTokenPayload.java
62	0	src/main/java/com/charity_hub/shared/api/auth/SecurityConfig.java
55	0	src/main/java/com/charity_hub/shared/domain/EventBus.java
16	0	src/main/java/com/charity_hub/shared/domain/IEventBus.java
6	0	src/main/java/com/charity_hub/shared/domain/ILogger.java
14	0	src/main/java/com/charity_hub/shared/domain/exceptions/InvalidAmountException.java
82	0	src/main/java/com/charity_hub/shared/domain/extension/AsyncUtils.java
26	0	src/main/java/com/charity_hub/shared/domain/extension/ValueValidator.java
28	0	src/main/java/com/charity_hub/shared/domain/model/AggregateRoot.java
49	0	src/main/java/com/charity_hub/shared/domain/model/Amount.java
6	0	src/main/java/com/charity_hub/shared/domain/model/AmountType.java
3	0	src/main/java/com/charity_hub/shared/domain/model/DomainEvent.java
4	0	src/main/java/com/charity_hub/shared/domain/model/DomainModel.java
59	0	src/main/java/com/charity_hub/shared/domain/model/Entity.java
9	0	src/main/java/com/charity_hub/shared/domain/model/Pair.java
22	0	src/main/java/com/charity_hub/shared/domain/model/Permission.java
4	0	src/main/java/com/charity_hub/shared/domain/model/ValueObject.java
58	0	src/main/java/com/charity_hub/shared/exceptions/AppException.java
11	0	src/main/java/com/charity_hub/shared/exceptions/DomainException.java
83	0	src/main/java/com/charity_hub/shared/infrastructure/FCMService.java
21	0	src/main/java/com/charity_hub/shared/infrastructure/Logger.java
64	0	src/main/java/com/charity_hub/shared/infrastructure/MongoDBConfig.java
16	0	src/main/resources/application.properties
15	0	src/main/resources/logback-spring.xml
14	0	src/test/kotlin/com/charity_hub/CharityHubApplicationTests.kt
